CO2,ratioCO2_2,ratioCO2_3
0.662891046386192,0.10993759001440227,0.2885928961748635
0.08231055900621116,0.1950321987120515,0.35281707459132045
0.014601371691028273,0.1851664538316623,0.26353672958200236
0.11280446086480565,0.08334422151260341,0.1622672405112062
0.0941407696470788,0.01586634149076339,0.09512213682368147
0.0583941605839415,0.23033707865168537,0.12315270935960612
0.14394471773248996,0.2621208192896034,0.3119053282588011
0.315773765109685,0.3053439071165709,-2.814353499406881
0.11844077961019503,0.38068709377901566,-0.1301154249737673
-0.08477456385469372,0.08717383061597332,0.18024865781294142
-0.01664959461101741,-0.08585163540390227,0.08380399675285417
0.1265306122448978,0.2939481268011528,0.01977401129943511
0.4740384615384616,0.48129675810473815,0.3598339719029374
,,
0.031887456037514805,0.29105718085106363,0.44234334445680396
0.131387091484719,0.08820011500862558,0.36445168882619094
0.11068752464835017,0.058811399348373074,0.08975899091523387
-2.4242424242424243,0.3888888888888889,
0.09769127230971622,0.03780342802787801,0.17343288366340362
0.20491803278688525,0.04687500000000004,0.27683615819209045
0.22531475242773685,0.4080621130234944,0.4003000838717563
-0.056086880364336775,0.0414064074148698,0.32859848484848486
,,
0.13536011581614193,0.2139402560455191,0.22131147540983612
0.30802992518703237,0.0721029248426508,-0.019053008866251477
0.009578107183580533,0.00918882277622956,0.21609494007203162
0.13719595517901056,0.09943391582574466,-4.195652173913044
0.0049948413933148415,-0.028498762021862262,0.06580334523940655
-0.14563319574825587,-0.05340721074300664,-0.08822544175529685
0.2221869376521648,0.052742404492128664,0.22791669892389874
0.19232573412139978,0.28667350762916044,0.2904435914684817
,,
0.3483391608391609,0.24563138806462237,0.47670807453416153
0.08137420851357276,-0.06903022585617595,0.025503706364497284
0.02158779569949776,-0.03226551925256675,0.07720819708755597
-0.06741071428571437,-0.06413301662707846,0.36057108140947763
0.19727891156462585,-0.3363636363636364,0.6126760563380281
-0.6631046119235092,-0.9888143176733779,
-0.0420067464144681,-0.06217922907949259,0.13503278778861533
0.13090991101816546,0.02861922686263967,-0.9907620331456666
0.30221612080800164,0.12882282590124722,0.2557222787385554
0.20710784313725494,0.17157360406091382,0.32395332875772126
,,0.4230769230769231
0.17295980511571263,-1.9217081850533808,0.2172701949860724
0.4498806682577567,0.11696522655426758,0.43746295198577356
0.3194267515923566,0.22411662960217446,0.2614963503649635
,,
-0.02475282737036766,-0.05647191433402229,-0.012015665994904627
0.04382826475849733,0.009743135518157454,0.04725738396624477
0.18084282578952218,0.25384926277973197,0.4235273001523915
0.19882036780523304,0.15781522995457364,0.3402226037114806
0.1679129843643779,0.03637872303257944,-0.029817854733528198
0.16925979872881372,-0.5740711791985829,
0.06551900308758524,-0.004041233066742971,-0.02345572492250647
,,
0.02626511296203188,-0.016319061934014285,0.19105852370483994
0.16651031894934337,0.16227897838899813,0.27197311020524906
-0.09964855877578684,0.3445141162980486,0.2962136303491196
0.06958624395486288,-1.1111741349971636,0.7901690073791955
0.3080300187617261,0.246344843188824,0.2926102264543489
0.33319870759289166,0.21045918367346944,0.4126240869076606
0.2774674115456239,0.4175704989154012,0.6478227654698243
-0.14572591587516953,0.0769038076152303,0.13292788879235456
0.09280906836698548,0.049921471842046254,0.3667684876038929
-0.05341446923597019,0.05756159728122332,0.07686274509803925
0.03141361256544494,0.10538641686182675,0.46956521739130447
-0.3285714285714287,-2.7634408602150535,0.7937915742793791
