Country,ratio,Temp,CO2
Albania,1,29.009999999999998,12.29
Albania,2,-5.030000000000001,2.289999999999999
Albania,3,15.0,8.450000000000003
Algeria,1,0.6400000000000006,33.129999999999995
Algeria,2,-1.3600000000000136,97.51999999999998
Algeria,3,19.819999999999993,272.59000000000015
Argentina,1,1.190000000000012,9.410000000000082
Argentina,2,-0.3300000000000125,146.45000000000005
Argentina,3,19.769999999999996,283.01999999999975
Australia,1,1.2719999999999914,197.8499999999999
Australia,2,1.1820000000000164,159.47000000000025
Australia,3,17.34999999999998,370.6200000000001
Austria,1,4.249999999999993,33.049999999999955
Austria,2,0.7700000000000031,5.660000000000025
Austria,3,10.970000000000006,37.49999999999994
Bahamas,1,3.1200000000000045,0.6399999999999988
Bahamas,2,2.6999999999999886,3.2799999999999994
Bahamas,3,24.620000000000033,2.0000000000000036
Bahrain,1,0.9899999999999807,12.289999999999992
Bahrain,2,-0.25,30.330000000000013
Bahrain,3,30.74000000000001,52.44999999999999
Bangladesh,1,1.5300000000000011,42.31999999999998
Bangladesh,2,-2.4499999999999886,58.910000000000025
Bangladesh,3,-100.65,-142.35000000000002
Barbados,1,-0.15999999999996817,0.7900000000000009
Barbados,2,0.7799999999999727,4.099999999999999
Barbados,3,27.07000000000002,-1.240000000000002
Belarus,1,4.380000000000003,-22.44999999999999
Belarus,2,0.490000000000002,25.29000000000002
Belarus,3,9.349999999999994,63.789999999999964
Belgium,1,3.200000000000003,-9.589999999999918
Belgium,2,-0.8599999999999994,-45.539999999999964
Belgium,3,9.07,48.51999999999998
Belize,1,1.6400000000000148,0.3099999999999996
Belize,2,1.0300000000000011,1.02
Belize,3,26.29000000000002,0.07000000000000028
Benin,1,0.21000000000000796,4.930000000000001
Benin,2,-0.18000000000000682,9.65
Benin,3,28.01000000000002,11.27
Bermuda,1,-0.2300000000000182,0.0
Bermuda,2,-0.8100000000000023,0.0
Bermuda,3,-88.52,0.0
Bolivia,1,0.19999999999999574,1.3600000000000065
Bolivia,2,-1.0600000000000023,17.509999999999984
Bolivia,3,10.170000000000002,47.720000000000006
Brazil,1,1.3199999999999932,208.33000000000015
Brazil,2,-3.260000000000005,153.37999999999988
Brazil,3,25.706666666666678,997.2200000000003
Bulgaria,1,12.030000000000001,25.25999999999999
Bulgaria,2,3.0900000000000034,14.26000000000002
Bulgaria,3,14.64,23.909999999999997
Burundi,1,-79.35999999999999,-0.8
Burundi,2,-0.7500000000000071,0.21000000000000002
Canada,1,-0.4059999999999917,256.92999999999984
Canada,2,1.2999999999999972,103.33000000000038
Canada,3,-2.0708888888888985,573.5199999999995
Central African Republic,1,-0.960000000000008,0.25
Central African Republic,2,1.6800000000000068,0.06000000000000005
Central African Republic,3,27.109999999999985,0.4900000000000002
China,1,0.416000000000011,4554.580000000002
China,2,0.6759999999999877,13935.059999999998
China,3,15.039999999999992,22794.72
Colombia,1,-0.14000000000000057,-16.009999999999934
Colombia,2,-0.4299999999999926,12.329999999999927
Colombia,3,16.769999999999996,145.74
Congo,1,-1.1599999999999824,0.0
Congo,2,0.07999999999998408,0.0
Congo,3,26.36,0.0
Costa Rica,1,1.0499999999999972,3.740000000000002
Costa Rica,2,-2.589999999999989,7.519999999999996
Costa Rica,3,23.699999999999974,9.990000000000002
Croatia,1,16.810000000000002,30.879999999999995
Croatia,2,0.23999999999999488,7.789999999999992
Croatia,3,13.960000000000008,-2.019999999999982
Cuba,1,-0.75,1.2600000000000193
Cuba,2,-0.10999999999999943,1.2199999999999989
Cuba,3,23.189999999999984,36.599999999999994
Cyprus,1,2.230000000000018,5.019999999999996
Cyprus,2,-1.2300000000000182,4.040000000000006
Cyprus,3,-66.07,-32.81
Czech Republic,1,4.200000000000003,3.049999999999841
Czech Republic,2,1.6899999999999977,-16.919999999999845
Czech Republic,3,8.580000000000005,41.82000000000005
Denmark,1,3.3399999999999963,-39.870000000000005
Denmark,2,1.5200000000000031,-13.879999999999995
Denmark,3,6.790000000000006,-21.069999999999993
Dominican Republic,1,1.4300000000000068,20.99000000000001
Dominican Republic,2,1.079999999999984,5.259999999999991
Dominican Republic,3,28.430000000000035,29.439999999999998
Egypt,1,1.8400000000000034,123.0
Egypt,2,1.8599999999999994,257.0200000000001
Egypt,3,23.359999999999985,366.9900000000001
Equador,1,-1.9599999999999937,0.0
Equador,2,2.664999999999992,0.0
Equador,3,29.090000000000003,0.0
Ethiopia,1,4.640000000000015,7.970000000000002
Ethiopia,2,-2.0500000000000114,7.449999999999996
Ethiopia,3,16.05000000000001,27.630000000000003
Finland,1,1.6999999999999993,25.95999999999998
Finland,2,2.3100000000000023,-20.600000000000023
Finland,3,5.759999999999998,7.810000000000002
France,1,-0.6050000000000182,40.49999999999977
France,2,-1.204999999999984,-58.63999999999987
France,3,12.424999999999997,152.05999999999972
Gabon,1,-0.6100000000000421,-1.5100000000000016
Gabon,2,0.7700000000000102,-1.3500000000000014
Gabon,3,25.460000000000036,11.870000000000005
Gambia,1,1.5900000000000034,0.29000000000000004
Gambia,2,-52.349999999999994,-0.3700000000000001
Gambia,3,77.28999999999999,1.7399999999999998
Georgia,1,-0.23999999999999488,-11.789999999999996
Georgia,2,-48.17,-8.84
Germany,1,-1.0833333333333357,-175.09000000000106
Germany,2,0.6441666666666706,-244.0
Germany,3,6.556666666666672,612.6100000000006
Greece,1,0.6000000000000085,63.85000000000002
Greece,2,-0.47999999999998977,14.370000000000005
Greece,3,-37.96,-249.89000000000001
Guatemala,1,-0.5999999999999801,15.410000000000004
Guatemala,2,0.3299999999999841,7.539999999999999
Guatemala,3,19.330000000000013,20.11
Guinea,1,-1.5300000000000011,1.6900000000000004
Guinea,2,1.0800000000000125,1.6900000000000013
Guinea,3,26.269999999999982,4.719999999999999
Guinea-Bissau,3,52.44,0.66
Guyana,1,30.509999999999977,1.4200000000000008
Guyana,2,-85.12999999999998,-5.4
Guyana,3,0.0799999999999983,0.7799999999999998
Haiti,1,29.430000000000007,3.7700000000000014
Haiti,2,0.19999999999998863,1.1099999999999994
Haiti,3,27.649999999999977,7.380000000000001
Honduras,1,-0.020000000000010232,10.029999999999998
Honduras,2,-0.5999999999999943,9.07
Honduras,3,21.97999999999999,14.329999999999998
Hong Kong,1,0.9000000000000057,0.0
Hong Kong,2,0.060000000000002274,0.0
Hong Kong,3,24.830000000000013,0.0
Hungary,1,3.530000000000001,-6.9599999999999795
Hungary,2,-0.5400000000000063,-15.03000000000003
Hungary,3,13.869999999999997,-3.159999999999968
Iceland,1,4.089999999999996,0.4900000000000002
Iceland,2,0.2699999999999996,0.10999999999999766
Iceland,3,5.380000000000006,0.5600000000000005
India,1,0.3725000000000023,901.4399999999996
India,2,0.4324999999999761,1695.8399999999992
India,3,28.057500000000005,4908.080000000001
Indonesia,1,4.489999999999981,311.47
Indonesia,2,-1.039999999999992,293.5600000000002
Indonesia,3,27.75,959.21
Ireland,1,-0.17999999999999972,37.04999999999998
Ireland,2,1.1400000000000006,8.330000000000041
Ireland,3,7.450000000000003,-6.6299999999999955
Israel,1,-1.1299999999999955,51.13000000000005
Israel,2,-40.33,-110.17000000000004
Italy,1,1.8500000000000085,147.48000000000002
Italy,2,-0.5600000000000023,-9.0600000000004
Italy,3,16.36,-51.379999999999654
Ivory Coast,1,-1.1000000000000227,0.0
Ivory Coast,2,-3.5,0.0
Ivory Coast,3,29.840000000000003,0.0
Japan,1,-0.043333333333336554,157.2599999999993
Japan,2,2.0600000000000023,-96.14000000000033
Japan,3,15.019999999999996,1391.420000000001
Jordan,1,0.2500000000000142,14.200000000000003
Jordan,2,1.3499999999999943,16.52000000000001
Jordan,3,20.879999999999995,38.02999999999997
Kazakhstan,1,2.4000000000000057,-63.23000000000002
Kazakhstan,2,-0.010000000000005116,333.5
Kazakhstan,3,10.930000000000007,407.43000000000006
Kenya,1,-3.5799999999999983,2.5899999999999963
Kenya,2,-54.19,-19.589999999999996
Kenya,3,76.14999999999999,66.39000000000001
Kuwait,1,1.039999999999992,82.09
Kuwait,2,-0.46000000000000796,87.11000000000007
Kuwait,3,28.840000000000003,146.26999999999992
Kyrgyzstan,1,38.690000000000005,8.249999999999996
Kyrgyzstan,2,0.14999999999999147,6.600000000000001
Kyrgyzstan,3,10.730000000000004,22.03
Laos,1,-2.339999999999975,1.4900000000000002
Laos,2,-1.1100000000000136,3.8499999999999988
Laos,3,29.970000000000027,16.96
Latvia,1,5.149999999999999,-5.369999999999997
Latvia,2,-1.749999999999993,3.069999999999993
Latvia,3,5.429999999999993,6.1200000000000045
Lebanon,1,1.3299999999999983,7.859999999999999
Lebanon,2,-0.13000000000000966,4.450000000000003
Lebanon,3,24.63000000000001,51.63000000000001
Macedonia,1,-2.3599999999999994,-2.3699999999999974
Macedonia,2,0.8999999999999986,2.7099999999999937
Macedonia,3,14.43,3.9200000000000017
Madagascar,1,-0.45999999999999375,0.23999999999999932
Madagascar,2,-0.5,0.9000000000000004
Madagascar,3,13.89,7.560000000000002
Malawi,1,-21.72999999999999,-1.1500000000000004
Malawi,2,-62.06,-2.57
Malawi,3,66.13999999999999,3.5799999999999996
Malaysia,1,0.2599999999999909,189.07999999999998
Malaysia,2,-1.0100000000000193,223.55000000000007
Malaysia,3,31.160000000000025,378.52999999999986
